run_id,fault_id,fault_mode,seed,activation_confirmed,activation_host_time,injection_host_time,detection_observed,detection_event,detection_host_time,detection_latency_ms,offline_observed,restore_command_host_time,restore_confirmation_host_time,recovery_observed,recovery_host_time,recovery_time_ms,controller_restart_marker_observed,outcome,invalid_reason
R054_P03,P03,DELAYED,20260830,True,2026-08-29T19:18:27.334263+00:00,2026-08-29T19:18:27.284889+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:18:27.585467+00:00,297.0,True,2026-08-29T19:18:31.340230+00:00,2026-08-29T19:18:31.404199+00:00,True,2026-08-29T19:18:31.513265+00:00,172.0,False,DETECTED_RECOVERY_OBSERVED,
R055_P01,P01,SILENT,20260830,True,2026-08-29T19:18:37.185587+00:00,2026-08-29T19:18:37.169532+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:18:37.564657+00:00,391.0,True,2026-08-29T19:18:41.191329+00:00,2026-08-29T19:18:41.252255+00:00,True,2026-08-29T19:18:41.486169+00:00,297.0,False,DETECTED_RECOVERY_OBSERVED,
R056_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:18:46.583277+00:00,2026-08-29T19:18:46.547768+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:18:46.992572+00:00,453.0,True,2026-08-29T19:18:50.589086+00:00,2026-08-29T19:18:50.650142+00:00,True,2026-08-29T19:18:50.981104+00:00,391.0,False,DETECTED_RECOVERY_OBSERVED,
R057_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:18:55.547683+00:00,2026-08-29T19:18:55.511423+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:18:55.969460+00:00,453.0,True,2026-08-29T19:18:59.552986+00:00,2026-08-29T19:18:59.564348+00:00,True,2026-08-29T19:18:59.922346+00:00,375.0,False,DETECTED_RECOVERY_OBSERVED,
R058_P03,P03,DELAYED,20260830,True,2026-08-29T19:19:05.033478+00:00,2026-08-29T19:19:05.023485+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:19:05.536041+00:00,500.0,True,2026-08-29T19:19:09.038539+00:00,2026-08-29T19:19:09.182239+00:00,True,2026-08-29T19:19:09.386403+00:00,360.0,False,DETECTED_RECOVERY_OBSERVED,
R059_P03,P03,DELAYED,20260830,True,2026-08-29T19:19:14.315578+00:00,2026-08-29T19:19:14.303073+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:19:14.486558+00:00,188.0,True,2026-08-29T19:19:18.320931+00:00,2026-08-29T19:19:18.386001+00:00,True,2026-08-29T19:19:18.417336+00:00,94.0,False,DETECTED_RECOVERY_OBSERVED,
R060_P01,P01,SILENT,20260830,True,2026-08-29T19:19:24.080946+00:00,2026-08-29T19:19:24.071945+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:19:24.477901+00:00,407.0,True,2026-08-29T19:19:28.087147+00:00,2026-08-29T19:19:28.103382+00:00,True,2026-08-29T19:19:28.400229+00:00,312.0,False,DETECTED_RECOVERY_OBSERVED,
R061_P03,P03,DELAYED,20260830,True,2026-08-29T19:19:33.180989+00:00,2026-08-29T19:19:33.131009+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:19:33.446917+00:00,328.0,True,2026-08-29T19:19:37.186935+00:00,2026-08-29T19:19:37.202210+00:00,True,2026-08-29T19:19:37.375013+00:00,187.0,False,DETECTED_RECOVERY_OBSERVED,
R062_P03,P03,DELAYED,20260830,True,2026-08-29T19:19:42.532896+00:00,2026-08-29T19:19:42.499933+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:19:42.925061+00:00,422.0,True,2026-08-29T19:19:46.538144+00:00,2026-08-29T19:19:46.617757+00:00,True,2026-08-29T19:19:46.856367+00:00,329.0,False,DETECTED_RECOVERY_OBSERVED,
R063_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:19:51.957469+00:00,2026-08-29T19:19:51.913915+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:19:52.352493+00:00,438.0,True,2026-08-29T19:19:55.962939+00:00,2026-08-29T19:19:55.971035+00:00,True,2026-08-29T19:19:56.332428+00:00,359.0,False,DETECTED_RECOVERY_OBSERVED,
